loc,size
47768,25588
47995,25656
48298,25753
48590,25850
48866,25919
49200,25994
49503,26144
49897,26270
49989,26291
50103,26319
50204,26348
50355,26383
50678,26522
50820,26580
50938,26672
51198,26747
51225,26754
51504,26796
51615,26828
52068,26981
52339,27043
52571,27157
52868,27311
52993,27348
53015,27355
53253,27451
53674,27529
53699,27540
55199,27941
55399,27993
55631,28056
55820,28071
56181,28261
56238,28273
56550,28405
56853,28586
56870,28597
56901,28609
57087,28640
57125,28655
57151,28667
57224,28702
57453,28790
57793,28853
57831,28872
57848,28879
57859,28884
57869,28890
57892,28897
58012,28951
58170,28980
58180,28984
58203,28988
58403,29130
58479,29150
58511,29166
58548,29186
58589,29198
58679,29234
58799,29270
58809,29274
58856,29281
58933,29306
59019,29339
59029,29343
59051,29348
59074,29364
59117,29378
59181,29393
59230,29410
59253,29415
59287,29422
59371,29451
59419,29464
59459,29487
59495,29502
59554,29519
59584,29527
59639,29557
59749,29600
59770,29605
59831,29614
59887,29626
59925,29630
59967,29661
60037,29710
60122,29755
60132,29759
60157,29764
60274,29822
60332,29835
60391,29853
60458,29864
60485,29873
60599,29923
60694,29971
60713,29976
60756,29997
60845,30024
60928,30045
60958,30050
61077,30097
61125,30114
61211,30120
61286,30158
61415,30180
61441,30187
61509,30194
61603,30218
61613,30222
61701,30228
61772,30264
61796,30280
61838,30291
61871,30299
61915,30304
61957,30333
62007,30345
62141,30371
62151,30375
62221,30398
62337,30452
62415,30465
62436,30472
62553,30510
62780,30564
62790,30568
62829,30573
62844,30581
62864,30589
62879,30596
62907,30607
62943,30612
63017,30650
63181,30705
63217,30726
63260,30751
63292,30770
63405,30796
63433,30814
63545,30855
63702,30887
63727,30900
63758,30909
63832,30932
63969,30969
63990,30973
64013,30980
64104,31024
64121,31030
64163,31044
64182,31063
64232,31083
64287,31097
64304,31102
64353,31107
64386,31146
64522,31209
64732,31242
64763,31256
64800,31267
64891,31299
65030,31324
65047,31330
65091,31344
65177,31395
65190,31403
65287,31423
65300,31429
65333,31441
65421,31465
65480,31478
65500,31483
65550,31501
65618,31529
65669,31537
65714,31542
65731,31553
65771,31561
65818,31572
65861,31576
65962,31618
66122,31651
66156,31662
66173,31669
66250,31715
66259,31716
66262,31717
66325,31732
66326,31732
66390,31801
66415,31822
66508,31897
66511,31897
66551,31924
67322,32202
67514,32295
67634,32363
67721,32396
67941,32458
68153,32535
68206,32561
68449,32657
68621,32711
69119,32913
69273,32967
69332,32997
69618,33057
69766,33080
69883,33119
70187,33263
70542,33360
70623,33391
70728,33428
70833,33465
70952,33530
71022,33568
71143,33618
71216,33652
71276,33679
71350,33715
71441,33740
71504,33765
71591,33804
71680,33824
71749,33839
71827,33865
71882,33880
72003,33925
72150,33943
72211,33967
72376,34033
72465,34059
72574,34104
72695,34143
73302,34261
73479,34320
73663,34370
73727,34392
73831,34420
73935,34443
74041,34476
74179,34526
74371,34581
74470,34598
74580,34654
74638,34683
74695,34705
74818,34748
74902,34764
75157,34828
75255,34854
75395,34891
75489,34920
75579,34933
75656,34955
75886,35035
76045,35082
76220,35145
76275,35157
76417,35222
76456,35240
76537,35269
76729,35308
76966,35396
77139,35433
77272,35472
77377,35503
77426,35513
77654,35593
77767,35666
77870,35689
77985,35739
78067,35762
78125,35785
78248,35821
78344,35857
78419,35879
78617,35922
78827,35933
79037,35936
79247,35940
79553,36027
79616,36059
79725,36077
79944,36122
80031,36134
80093,36155
80144,36172
80206,36193
80320,36219
80507,36274
80560,36291
80588,36303
80706,36342
80935,36405
81107,36499
81141,36513
81253,36544
81386,36575
81538,36628
81974,36812
82056,36844
82163,36873
82206,36887
82303,36914
82406,36934
82525,36989
82657,37039
82679,37062
82716,37087
82815,37200
82841,37219
82867,37235
83014,37317
83040,37329
83197,37441
83251,37463
83512,37639
83571,37675
83640,37717
83728,37782
83750,37801
83945,37887
84327,38057
84360,38078
84392,38109
85388,38287
85878,38478
86565,38605
86684,38605
87365,38785
87815,38822
87866,38840
88093,38896
88395,38963
88500,39088
88853,39278
88988,39325
89029,39354
89306,39404
89415,39437
89505,39467
