loc,misses,hits,total,ratio
10,15,1,16,0.06666666666666667
37,43,24,67,0.5581395348837209
169,162,205,367,1.2654320987654322
190,185,225,410,1.2162162162162162
297,281,341,622,1.2135231316725978
318,299,352,651,1.1772575250836121
318,299,352,651,1.1772575250836121
339,312,363,675,1.1634615384615385
671,667,1598,2265,2.395802098950525
691,678,1608,2286,2.3716814159292037
717,705,1642,2347,2.329078014184397
2583,1717,4611,6328,2.685497961560862
2619,1760,4645,6405,2.6392045454545454
3042,2032,4959,6991,2.440452755905512
3094,2099,5045,7144,2.4035254883277752
3112,2121,5063,7184,2.387081565299387
3158,2138,5085,7223,2.3783910196445275
3556,2430,5676,8106,2.3358024691358024
3609,2462,5741,8203,2.331844029244517
4553,3047,7239,10286,2.375779455201838
4719,3169,7433,10602,2.3455348690438624
4748,3183,7450,10633,2.3405592208608232
4748,3228,7510,10738,2.3265179677819083
4757,3237,7526,10763,2.324992276799506
4761,3239,7534,10773,2.3260265514047544
4773,3249,7549,10798,2.3234841489689133
4896,3357,7740,11097,2.3056300268096517
5025,3472,7923,11395,2.2819700460829493
5035,3481,7937,11418,2.2800919276070095
5053,3497,7953,11450,2.2742350586216755
5076,3515,7971,11486,2.267709815078236
5090,3529,8036,11565,2.2771323321054124
5137,3557,8085,11642,2.2729828507168963
5152,3566,8100,11666,2.2714526079641053
5186,3578,8111,11689,2.26690888764673
5222,3615,8164,11779,2.2583679114799446
5303,3684,8299,11983,2.25271444082519
5355,3722,8365,12087,2.2474476088124664
6356,4145,9644,13789,2.326658624849216
6865,4438,10476,14914,2.3605227579990986
6923,4487,10548,15035,2.3507911745041232
7029,4561,10652,15213,2.3354527515895636
7044,4578,10662,15240,2.3289646133682833
7088,4614,10701,15315,2.3192457737321197
7127,4678,10762,15440,2.300555793073963
7337,4734,10909,15643,2.304393747359527
7391,4806,11048,15854,2.2987931751976696
8205,5248,11926,17174,2.272484756097561
8252,5278,11964,17242,2.266767715043577
8308,5355,12079,17434,2.2556489262371615
8339,5384,12112,17496,2.24962852897474
8800,5659,12634,18293,2.2325499204806505
