loc,uniq_libs,total_libs
23552,53,287
23569,53,287
23574,53,287
23579,53,287
23584,53,287
23589,53,287
23594,53,287
23693,53,287
23700,53,287
23708,54,288
23717,54,289
23726,54,291
23739,54,292
23747,54,293
23755,54,294
23759,54,295
23767,54,296
23775,54,297
23782,54,298
23815,55,299
23840,55,300
23915,55,300
23964,55,300
24021,55,300
24046,55,301
24080,55,301
24134,55,301
24152,55,301
24161,55,301
24262,55,301
24303,55,301
24306,56,303
24404,56,303
24461,56,303
24530,56,303
24813,58,306
24834,58,306
24977,58,306
25015,58,306
25049,58,307
25230,59,310
25955,59,310
26911,59,310
27379,60,311
27484,60,311
27797,61,312
27812,61,312
28204,61,312
28372,61,312
28425,61,312
28926,62,313
29068,62,313
29077,62,313
29096,62,313
29496,63,314
29514,63,314
29536,63,314
29760,63,314
29914,63,314
30070,63,314
30347,63,314
30986,63,314
31577,63,314
31807,64,315
32118,64,315
32393,64,315
32701,64,315
32926,64,316
33217,64,316
33537,66,318
33754,66,318
33927,66,319
34093,66,319
34114,66,319
34289,66,319
34613,66,319
34869,66,319
35075,66,320
35110,66,320
35359,66,320
35388,66,320
35454,66,320
35674,66,320
35836,66,320
36098,66,320
36545,66,321
36819,66,321
37266,66,322
37825,67,323
38001,67,323
38115,67,324
38437,67,324
38712,67,324
38903,67,326
39214,67,326
39536,67,326
39636,67,326
39901,67,327
39937,67,327
40155,67,327
40422,67,328
40630,67,329
40907,67,330
41100,67,330
41280,67,331
41476,67,331
41699,67,331
41718,67,331
42139,67,332
42435,67,332
42528,67,332
42574,67,332
43207,67,333
43467,67,334
43863,67,334
43981,67,334
44177,67,334
44386,67,335
44425,67,335
44438,67,335
44705,67,335
44928,67,335
44942,67,335
44962,67,335
45315,67,336
45494,67,336
46164,67,336
46225,67,336
46473,67,336
46579,67,336
46592,67,336
46635,67,336
46874,67,336
46904,67,336
47102,67,336
47309,67,336
47474,67,336
47768,67,336
47995,67,337
48298,67,337
48590,67,337
48866,67,337
49200,67,339
49503,67,341
49897,67,342
49989,67,342
50103,67,342
50204,67,342
50355,67,342
50678,67,342
50820,67,342
50938,68,343
51198,68,343
51225,68,343
51504,68,344
51615,68,344
52068,68,344
52339,68,344
52571,68,345
52868,69,346
52993,69,346
53015,69,346
53253,69,346
53674,70,347
53699,70,347
55199,71,349
55399,71,349
55631,71,350
55820,71,350
56181,72,352
56238,72,353
56550,73,354
56853,73,354
56870,73,354
56901,73,354
57087,73,355
57125,73,355
57151,73,355
57224,74,356
57453,74,358
57793,74,359
57831,74,359
57848,74,359
57859,74,359
57869,74,359
57892,74,359
58012,74,359
58170,74,359
58180,74,359
58203,74,359
58403,74,359
58479,74,360
58511,74,360
58548,74,360
58589,74,360
58679,74,360
58799,74,360
58809,74,360
58856,74,360
58933,74,360
59019,74,361
59029,74,361
59051,74,361
59074,75,362
59117,75,363
59181,75,365
59230,75,365
59253,75,365
59287,75,365
59371,75,366
59419,75,366
59459,75,366
59495,75,366
59554,75,366
59584,75,366
59639,75,366
59749,75,367
59770,75,367
59831,75,367
59887,75,368
59925,75,368
59967,75,368
60037,75,368
60122,75,369
60132,75,369
60157,75,369
60274,75,369
60332,75,369
60391,75,370
60458,75,370
60485,75,370
60599,75,371
60694,75,372
60713,75,372
60756,75,372
60845,75,373
60928,75,373
60958,75,373
61077,75,373
61125,75,374
61211,75,374
61286,75,374
61415,75,376
61441,75,376
61509,75,376
61603,75,378
61613,75,378
61701,75,378
61772,75,378
61796,75,378
61838,75,378
61871,75,378
61915,75,378
61957,75,378
62007,75,378
62141,75,379
62151,75,379
62221,75,379
62337,75,379
62415,75,380
62436,75,380
62553,75,380
62780,75,382
62790,75,382
62829,75,382
62844,75,382
62864,75,382
62879,75,382
62907,75,382
62943,75,382
63017,75,382
63181,75,382
63217,75,382
63260,76,384
63292,76,384
63405,77,385
63433,77,385
63545,77,387
63702,77,387
63727,77,387
63758,77,387
63832,77,387
63969,77,388
63990,77,388
64013,77,388
64104,77,389
64121,77,389
64163,77,389
64182,77,389
64232,77,389
64287,77,389
64304,77,389
64353,77,389
64386,77,389
64522,77,390
