size,loc
25278,57451
25307,57516
25318,57548
25338,57590
25357,57644
25401,57711
25427,57774
25469,57824
25516,57885
25556,57928
25605,58023
25624,58057
25663,58137
25679,58172
25691,58222
25702,58272
25740,58315
25749,58330
25767,58414
25812,58447
25821,58474
25856,58532
25905,58606
25941,58643
26006,58739
26036,58835
26172,59024
26225,59117
26254,59186
26290,59285
26305,59326
26347,59395
26419,59490
26443,59549
26495,59650
26619,59890
26631,59908
26664,59979
26686,60013
26725,60119
26762,60181
26795,60267
26818,60317
26855,60399
26882,60454
26890,60468
26894,60478
26908,60497
26920,60527
26947,60647
26958,60711
26958,60712
26958,60722
26992,60803
26998,60825
27021,60851
27038,60871
27050,60892
27052,60914
27066,60945
27075,60963
27134,61029
27167,61075
27261,61196
27325,61261
27364,61306
27705,61705
27821,61876
27822,61886
27844,61918
27846,61927
27897,61976
27904,61994
27929,62037
28020,62179
28040,62210
28087,62292
28099,62321
28140,62402
28181,62448
28189,62477
28249,62612
28256,62633
28294,62714
28301,62736
28316,62773
28321,62792
28348,62858
28356,62887
28377,62929
28389,62958
28476,63059
28485,63088
28489,63106
28507,63133
28538,63178
28604,63254
28665,63328
28743,63419
28749,63437
28762,63461
28855,63575
28872,63608
28891,63651
28917,63702
28963,63774
29093,63968
29132,64049
29150,64084
29228,64192
29312,64308
29445,64513
29527,64666
29547,64712
29584,64786
29634,64874
29662,64925
29700,64981
29729,65027
29829,65171
29884,65268
29915,65330
29944,65370
30015,65479
30032,65509
30122,65645
30167,65735
30173,65760
30188,65809
30209,65843
30237,65930
30247,65959
30260,65989
30319,66098
30328,66127
30350,66161
30400,66255
30436,66353
30462,66415
30470,66444
30497,66502
30646,66688
30661,66717
30677,66751
30704,66804
30732,66852
30762,66910
30777,66934
30873,67106
30918,67222
30933,67254
30965,67302
30983,67352
31000,67403
31037,67521
31073,67585
31122,67697
31133,67729
31138,67748
31157,67791
31162,67810
31165,67826
31170,67845
31174,67861
31189,67893
31214,67948
31221,67969
31256,68033
31283,68080
31303,68134
31308,68153
31323,68186
31350,68245
31390,68312
31469,68448
31589,68683
31630,68728
31670,68777
31679,68802
31690,68852
31980,69255
32033,69312
32168,69462
32184,69498
32213,69559
32308,69702
32361,69781
32415,69863
32457,69934
32521,70022
32644,70210
32644,70222
32644,70234
32674,70330
32676,70350
32768,70461
32838,70554
32848,70582
32860,70610
32878,70644
32909,70705
33026,70949
33135,71087
33211,71176
33311,71306
33318,71330
33368,71435
33379,71460
33394,71502
33400,71531
33414,71560
33469,71648
33481,71671
33520,71738
33534,71769
33585,71855
33617,71946
33623,71975
33652,72033
33704,72118
33855,72318
33867,72343
33955,72479
33968,72510
34171,72787
34181,72816
34186,72835
34251,72913
34255,72930
34269,72963
34274,72982
34317,73084
34338,73165
34350,73211
34354,73229
34359,73251
34524,73672
34547,73768
34595,73923
34647,74115
34662,74178
34713,74336
34764,74490
34803,74579
34853,74762
34863,74791
34913,74933
34930,75005
34937,75070
34969,75215
35016,75410
35035,75469
35061,75583
35101,75747
35107,75793
35107,75811
35109,75833
35111,75862
35193,76117
35227,76327
35236,76400
35254,76447
35286,76519
35304,76572
35337,76689
35352,76772
35361,76836
35375,76959
35406,77232
35416,77264
35416,77282
35418,77304
35421,77334
35426,77407
35433,77440
35433,77458
35435,77480
35440,77503
35444,77577
35496,77867
35531,78020
35538,78070
35558,78154
35567,78192
35567,78210
35569,78232
35602,78367
35635,78527
35657,78656
35666,78725
35668,78748
35679,78867
35703,78957
35761,79034
36188,79785
36213,79867
36238,79938
36267,80035
36317,80298
36480,80842
36696,81348
36768,81595
36788,81679
36926,82028
37030,82176
37074,82265
37171,82412
37245,82514
37330,82762
37347,82843
37375,82931
37394,82987
37419,83034
37458,83110
37477,83145
37485,83224
37520,83314
37647,83742
37656,83774
37669,83819
37693,83876
37703,83906
38117,84644
38166,84726
38226,84881
38290,84999
38311,85074
38655,86016
38673,86057
38677,86081
38694,86128
38705,86163
38727,86246
38771,86355
38980,86768
38993,86808
39059,87019
39085,87069
39089,87093
39102,87133
39184,87279
39215,87345
39227,87392
39260,87475
39298,87531
39348,87608
39364,87661
39463,87796
39475,87842
39495,87886
39642,88130
39674,88215
39793,88521
39818,88591
39846,88656
39871,88703
39893,88759
39910,88800
39931,88843
39979,88966
40111,89656
40119,89689
40119,89707
40121,89727
40123,89753
40126,89826
40131,89859
40131,89877
40133,89899
40135,89926
40138,90000
40261,90456
40343,90669
40430,90921
40434,90956
40435,92222
40436,93631
40478,93758
40494,93802
40496,93826
40498,93846
40514,93886
40565,94019
40752,94869
40758,94900
40780,94941
40802,94989
40804,95015
40813,95048
40895,95547
40931,95712
41002,95823
41014,96038
41069,96173
41084,96227
41109,96313
41127,96356
41144,96409
41153,96479
41162,96515
41162,96533
41201,96596
41242,96686
41265,96759
41318,96865
41343,96952
41409,97160
41430,97253
41441,97285
41471,97405
41484,97472
41519,97559
41534,97603
41598,97873
41636,98093
41894,98896
41977,99266
41992,99344
42036,99466
42057,99520
42089,99602
42121,99701
42136,99757
42162,99904
42229,100160
42248,100224
42272,100324
42338,100561
42364,100664
42439,100838
42472,100944
42488,100995
42490,101016
42507,101072
42520,101112
42539,101172
42552,101217
42645,101378
42750,101589
42767,101708
42800,101827
42884,102032
42910,102104
