loc,misses,hits,total,ratio
44356,24412,56921,81333,2.331681140422743
44366,24412,56937,81349,2.3323365557922333
44685,24596,57339,81935,2.3312327207676047
44750,24638,57455,82093,2.331966880428606
44764,24647,57483,82130,2.332251389621455
44789,24665,57515,82180,2.331846746401784
44810,24674,57537,82211,2.331887817135446
45166,24969,58104,83073,2.3270455364652167
45178,24975,58118,83093,2.327047047047047
45221,24997,58191,83188,2.3279193503220386
45243,25010,58216,83226,2.327708916433427
45411,25157,58628,83785,2.330484556982152
45413,25158,58632,83790,2.330550918196995
45443,25180,58646,83826,2.3290706910246226
46036,25493,59405,84898,2.330247518926764
46250,25592,59615,85207,2.329438887152235
46274,25611,59638,85249,2.3286088009058608
46733,25750,60008,85758,2.3304077669902914
46772,25756,60046,85802,2.331340270228296
46783,25762,60050,85812,2.3309525657945813
46831,25799,60207,86006,2.3336951044614134
47329,26017,60596,86613,2.329092516431564
47509,26108,60850,86958,2.330703232725601
47537,26110,60889,86999,2.332018383761011
47725,26110,61168,87278,2.342703944848717
47833,26155,61285,87440,2.343146625884152
47863,26182,61318,87500,2.3419906806202735
47999,26260,61523,87783,2.342840822543793
48497,26475,61956,88431,2.340169971671388
48502,26479,61966,88445,2.3401941160919972
48572,26512,62023,88535,2.3394312009656004
48662,26577,62206,88783,2.340595251533281
48665,26578,62209,88787,2.34062006170517
48738,26608,62277,88885,2.3405366806975345
49958,26661,63747,90408,2.3910205918757734
49981,26674,63770,90444,2.390717552673015
50003,26674,63775,90449,2.3909050011246906
50356,26818,64367,91185,2.400141695875904
50388,26835,64403,91238,2.3999627352338364
50408,26844,64410,91254,2.3994188645507375
50636,26853,65783,92636,2.4497449074591295
50728,26898,65859,92757,2.448472005353558
50824,26922,66039,92961,2.4529752618676177
50892,26925,66211,93136,2.4590900649953573
50906,26925,66213,93138,2.4591643454038996
51188,27038,66655,93693,2.4652341149493306
51409,27189,67063,94252,2.4665489720107394
51771,27355,67483,94838,2.4669347468470115
51815,27384,67547,94931,2.4666593631317557
51939,27507,67755,95262,2.463191187697677
51944,27516,67759,95275,2.462530891117895
52001,27546,67817,95363,2.46195454875481
52094,27618,67961,95579,2.4607502353537547
52105,27626,67980,95606,2.4607254036052995
52221,27684,68116,95800,2.4604825892212108
52259,27698,68182,95880,2.4616217777456857
52285,27706,68214,95920,2.4620659784884142
52307,27720,68235,95955,2.4615800865800868
52503,27808,68419,96227,2.460407077100115
54851,28224,71114,99338,2.519628684807256
55275,28350,71372,99722,2.5175308641975307
55384,28398,71440,99838,2.5156701176139165
55388,28398,71442,99840,2.5157405451088106
55675,28458,71560,100018,2.5145828940895356
56076,28710,72029,100739,2.508847091605712
56105,28730,72061,100791,2.508214410024365
56175,28744,72085,100829,2.5078277205677706
56370,28805,72276,101081,2.5091477174101717
56398,28828,72308,101136,2.5082558623560427
56437,28860,72351,101211,2.506964656964657
56665,28887,72921,101808,2.5243535154221624
56810,29001,73143,102144,2.522085445329471
56886,29010,76191,105201,2.626370217166494
58005,29537,77565,107102,2.6260283711954497
58024,29537,77575,107112,2.6263669296137047
58072,29574,77681,107255,2.626665314127274
58339,29662,77943,107605,2.627705481761176
58446,29768,78130,107898,2.624630475678581
58785,30002,78775,108777,2.62565828944737
59143,30141,79288,109429,2.6305696559503664
59410,30145,91518,121663,3.03592635594626
59416,30151,91521,121672,3.0354217107226957
59423,30155,91534,121689,3.0354501741004807
59460,30184,91589,121773,3.0343559501722766
59524,30211,91663,121874,3.0340935420873194
59546,30226,91676,121902,3.0330179315820818
59617,30226,91848,122074,3.0387083967445245
59807,30297,92095,122392,3.03973990824174
59896,30340,92209,122549,3.039189189189189
59916,30343,92227,122570,3.0394819233431103
60357,30393,92578,122971,3.046030335932616
60399,30441,92660,123101,3.0439210275615123
60409,30447,92672,123119,3.0437153085689888
60417,30447,92672,123119,3.0437153085689888
60445,30484,92705,123189,3.041103529720509
60473,30491,92730,123221,3.041225279590699
60493,30512,92755,123267,3.0399514944939696
60501,30517,92759,123276,3.0395844938886523
60508,30526,92782,123308,3.0394417873288346
60678,30599,93054,123653,3.0410797738488187
60693,30607,93086,123693,3.0413304146110365
61081,30748,93485,124233,3.040360348640562
61107,30770,93534,124304,3.0397790055248617
61550,31000,94169,125169,3.037709677419355
61560,31000,94171,125171,3.0377741935483873
61634,31044,94308,125352,3.037881716273676
61763,31046,94689,125735,3.0499581266507763
61777,31052,94712,125764,3.0501094937524154
61802,31069,94735,125804,3.049180855515144
61852,31109,94863,125972,3.0493747790028607
61996,31191,95031,126222,3.046744253149947
62157,31200,95946,127146,3.0751923076923076
62318,31307,96333,127640,3.0770434727057845
62373,31356,96381,127737,3.0737657864523538
62543,31356,96726,128082,3.0847684653654803
62942,31692,97437,129129,3.074498296099962
62977,31701,97573,129274,3.077915523169616
62987,31705,97584,129289,3.0778741523419018
63006,31719,97611,129330,3.077366877896529
63012,31720,97621,129341,3.0775851197982345
63092,31744,97700,129444,3.0777469758064515
63190,31746,97988,129734,3.086625086625087
63211,31765,98019,129784,3.085754761529986
63239,31769,98063,129832,3.0867512354811293
63240,31769,98065,129834,3.086814189933583
63274,31785,98088,129873,3.085983954695611
63395,31855,98232,130087,3.083723120389264
63405,31860,98236,130096,3.083364720652856
63623,31882,98357,130239,3.085032306630701
64002,31997,98532,130529,3.0794136950339093
64011,32008,98550,130558,3.0789177705573607
64322,32144,99260,131404,3.087979094076655
64338,32152,99277,131429,3.087739487434685
64349,32152,99287,131439,3.088050510077134
64370,32165,99343,131508,3.0885434478470386
64415,32187,99458,131645,3.090005281635443
64439,32223,99511,131734,3.08819787108587
64471,32231,99537,131768,3.0882380317086033
64574,32312,99628,131940,3.0833127011636545
64851,32485,100080,132565,3.0808065260889643
65617,32726,100734,133460,3.078103037340341
65633,32744,100757,133501,3.077113364280479
65673,32785,100804,133589,3.0746987951807228
65814,32900,101111,134011,3.0732826747720363
65864,32917,101254,134171,3.076039736306468
65904,32929,101314,134243,3.0767408667132314
66180,33100,101800,134900,3.0755287009063443
66188,33106,101820,134926,3.0755754243943696
66579,33437,102318,135755,3.0600233274516255
66634,33477,102417,135894,3.0593243122143563
66667,33483,102421,135904,3.0588955589403577
66718,33486,102600,136086,3.063967030998029
66819,33543,102819,136362,3.0652893301135857
69416,34724,105843,140567,3.0481223361363896
69491,34771,105973,140744,3.0477409335365677
69821,35014,106403,141417,3.0388701662192266
69886,35031,106614,141645,3.0434186863064143
69908,35048,106663,141711,3.0433405615156355
69941,35064,106710,141774,3.043292265571526
70206,35284,107098,142382,3.0353134565242037
70263,35306,107150,142456,3.034894918710701
70305,35330,107235,142565,3.0352391735069344
70373,35358,107362,142720,3.036427399739804
70510,35460,107611,143071,3.034715172024817
70646,35538,107935,143473,3.0371714784174686
70736,35591,108138,143729,3.038352392458768
70880,35735,108411,144146,3.0337484259129703
71152,35866,108711,144577,3.0310321753192437
71184,35906,108761,144667,3.0290480699604525
71185,35906,108763,144669,3.0291037709575
71287,35952,108931,144883,3.029900979083222
71315,35966,108965,144931,3.0296669076349887
71346,35980,109000,144980,3.0294608115619788
71512,36048,109221,145269,3.0298768308921438
71540,36062,109255,145317,3.02964339193611
71945,36292,109969,146261,3.0301168301554062
71963,36292,109979,146271,3.0303923729747604
72039,36337,110076,146413,3.0293089688196604
72100,36353,110119,146472,3.0291585288696945
72109,36362,110130,146492,3.0287112920081403
72228,36422,110368,146790,3.030256438416342
72261,36452,110412,146864,3.0289696038626137
72266,36463,110427,146890,3.0284672133395496
72270,36465,110432,146897,3.0284382284382283
