loc,misses,hits,total,ratio
23,35,12,47,0.34285714285714286
95,118,100,218,0.847457627118644
122,141,113,254,0.8014184397163121
364,216,211,427,0.9768518518518519
834,717,1156,1873,1.612273361227336
869,763,1227,1990,1.6081258191349934
901,791,1255,2046,1.586599241466498
933,811,1264,2075,1.5585696670776819
994,837,1277,2114,1.5256869772998805
1844,1332,2138,3470,1.605105105105105
1988,1461,2280,3741,1.5605749486652978
2612,1760,3019,4779,1.715340909090909
2617,1766,3022,4788,1.7112117780294451
2661,1784,3043,4827,1.7057174887892377
2706,1824,3156,4980,1.730263157894737
2738,1849,3181,5030,1.7203893996755002
2746,1856,3194,5050,1.7209051724137931
2747,1856,3194,5050,1.7209051724137931
2909,1973,3397,5370,1.7217435377597567
3173,2172,3868,6040,1.7808471454880295
3516,2376,4246,6622,1.787037037037037
3547,2412,4274,6686,1.7719734660033168
3745,2528,4393,6921,1.737737341772152
3761,2539,4408,6947,1.7361165813312327
3820,2573,4475,7048,1.7392149242129809
3861,2609,4516,7125,1.7309313913376774
3944,2638,4550,7188,1.7247915087187262
4016,2661,4794,7455,1.8015783540022547
4045,2673,4802,7475,1.7964833520389076
4098,2735,4867,7602,1.7795246800731261
4207,2821,4984,7805,1.7667493796526055
4210,2828,4990,7818,1.7644978783592644
4226,2847,5019,7866,1.7629083245521602
4263,2887,5054,7941,1.7506061655697955
4302,2922,5097,8019,1.74435318275154
4348,2948,5126,8074,1.7388059701492538
4359,2954,5127,8081,1.7356127285037237
4377,2966,5142,8108,1.7336480107889414
4877,3190,5891,9081,1.8467084639498432
4909,3222,5928,9150,1.8398510242085662
4924,3246,5961,9207,1.8364140480591498
4954,3269,5985,9254,1.8308351177730193
4978,3287,6022,9309,1.8320657134164893
5374,3476,6362,9838,1.8302646720368239
5392,3487,6376,9863,1.8285058789790651
5419,3513,6399,9912,1.821520068317677
5509,3585,6519,10104,1.818410041841004
5619,3676,6768,10444,1.841131664853101
5749,3766,7090,10856,1.8826340945300053
5826,3834,7168,11002,1.8695878977569118
6123,4045,7520,11565,1.8590852904820767
6172,4081,7545,11626,1.8488115657926978
6216,4134,7633,11767,1.8463957426221578
6238,4160,7653,11813,1.8396634615384615
6311,4221,7717,11938,1.828239753612888
6356,4274,7824,12098,1.8306036499766027
6441,4399,7960,12359,1.8095021595817231
6467,4412,7982,12394,1.8091568449682685
6480,4436,8056,12492,1.8160504959422903
6797,4681,8422,13103,1.7991882076479384
7374,5085,9360,14445,1.8407079646017699
7404,5133,9428,14561,1.8367426456263394
7501,5188,9491,14679,1.829414032382421
7508,5192,9493,14685,1.8283898305084745
7515,5195,9495,14690,1.8277189605389799
7566,5235,9577,14812,1.829417382999045
7677,5302,9725,15027,1.8342135043379857
7696,5322,9756,15078,1.8331454340473505
7803,5436,9968,15404,1.8337012509197939
7874,5478,10119,15597,1.8472070098576123
7887,5479,10123,15602,1.847599926993977
8033,5580,10315,15895,1.8485663082437276
8055,5589,10321,15910,1.8466630882089818
8061,5594,10337,15931,1.847872720772256
8092,5630,10429,16059,1.852397868561279
8221,5760,10590,16350,1.8385416666666667
8308,5777,10745,16522,1.8599619179504934
8329,5779,10745,16524,1.8593182211455268
8408,5804,10794,16598,1.8597518952446588
8409,5804,10796,16600,1.8600964851826327
8425,5819,10806,16625,1.8570201065475167
8449,5846,10878,16724,1.860759493670886
8566,5924,10999,16923,1.8566846725185686
8680,6046,11224,17270,1.85643400595435
8751,6094,11311,17405,1.8560879553659337
8765,6112,11340,17452,1.8553664921465969
8818,6151,11412,17563,1.8553080799869939
8842,6181,11472,17653,1.8560103543116
8876,6193,11483,17676,1.8541902147585985
9069,6316,11738,18054,1.858454718176061
9098,6348,11760,18108,1.8525519848771266
9140,6395,11862,18257,1.854886630179828
9347,6617,12232,18849,1.8485718603596797
9392,6651,12273,18924,1.8452864230942716
9405,6657,12290,18947,1.8461769565870512
9415,6657,12290,18947,1.8461769565870512
9458,6683,12312,18995,1.842286398324106
9511,6729,12411,19140,1.8444048149799377
9536,6740,12427,19167,1.8437685459940654
9630,6822,12602,19424,1.847258868367048
11478,7820,15620,23440,1.9974424552429668
11488,7824,15620,23444,1.9964212678936606
11551,7838,15654,23492,1.997193161520796
11695,7856,16470,24326,2.0964867617107945
11717,7863,16472,24335,2.094874729746916
