loc,misses,hits,total,ratio
26391,16953,45245,62198,2.668849171238129
26398,16958,45254,62212,2.6685929944568936
26404,16958,45268,62226,2.669418563509848
26526,17018,45560,62578,2.677165354330709
26659,17018,45560,62578,2.677165354330709
26674,17031,45588,62619,2.6767658974810637
26915,17169,45900,63069,2.6734230298794337
26952,17187,45941,63128,2.6730086693431083
27108,17248,46045,63293,2.669584879406308
27492,17562,47137,64699,2.684033709144744
27597,17641,47337,64978,2.68335128394082
27804,17773,47944,65717,2.6975749732740675
27818,17787,47974,65761,2.6971383594760217
27832,17793,47982,65775,2.6966784690608665
28298,18039,48593,66632,2.693774599478907
28361,18082,48681,66763,2.6922353721933416
28366,18083,48692,66775,2.6926947962174417
28369,18086,48695,66781,2.692414021895389
28461,18162,48804,66966,2.687148992401718
28471,18186,48850,67036,2.686132189596393
28708,18255,49640,67895,2.7192549986305123
28996,18384,50078,68462,2.723999129677981
29018,18396,50082,68478,2.7224396607958252
29062,18426,50143,68569,2.721317703245414
29143,18475,50422,68897,2.7292016238159675
29148,18475,50433,68908,2.7297970230040596
29162,18491,50457,68948,2.7287328970850684
29238,18545,50583,69128,2.727581558371529
29256,18560,50614,69174,2.7270474137931036
29265,18569,50624,69193,2.7262642037804943
29280,18590,50656,69246,2.7249058633674017
29302,18632,50736,69368,2.7230571060541005
29444,18699,51000,69699,2.7274185785336114
29462,18718,51029,69747,2.7261993802756703
29478,18723,51099,69822,2.7292100624899858
29497,18733,51113,69846,2.728500507126461
29508,18743,51125,69868,2.7276850024008965
29577,18792,51242,70034,2.726798637718178
29625,18843,51341,70184,2.7246722920978614
29689,18897,51397,70294,2.719849711594433
29718,18910,51437,70347,2.720095187731359
29729,18923,51453,70376,2.7190720287480845
29735,18926,51469,70395,2.7194864207967875
29951,18987,51747,70734,2.7253910570390265
29998,19020,51810,70830,2.72397476340694
30004,19020,51824,70844,2.7247108307045216
30197,19091,52005,71096,2.724058456864491
30204,19097,52021,71118,2.724040425197675
30206,19101,52031,71132,2.7239935081932884
31207,19496,53338,72834,2.735843249897415
31541,19651,54226,73877,2.759452445168185
31547,19651,54240,73891,2.760164877105491
31705,19783,54482,74265,2.7539806904918365
31737,19799,54555,74354,2.7554421940502047
32021,19975,55302,75277,2.7685607008760953
32125,20032,55417,75449,2.7664237220447285
32166,20066,55477,75543,2.764726402870527
32197,20080,55584,75664,2.7681274900398405
32342,20198,55802,76000,2.762748787008615
32394,20252,55887,76139,2.7595793008097966
32478,20299,55964,76263,2.756983102615892
32499,20311,55993,76304,2.7567820392890554
32672,20466,56356,76822,2.7536401837193396
32677,20466,56368,76834,2.7542265220365483
32681,20469,56371,76840,2.753969417167424
32714,20489,56417,76906,2.753526282395432
33137,20996,58000,78996,2.7624309392265194
33150,21004,58022,79026,2.76242620453247
33319,21155,58434,79589,2.762183880879225
33379,21196,58826,80022,2.7753349688620492
33435,21264,58934,80198,2.771538750940557
33441,21264,58948,80212,2.7721971407072985
33471,21274,58977,80251,2.7722572153802765
33708,21396,59217,80613,2.7676668536174986
33723,21404,59251,80655,2.7682208932909735
33775,21457,59343,80800,2.765670876636995
33786,21457,59343,80800,2.765670876636995
33821,21478,59396,80874,2.7654343979886393
33911,21553,59569,81122,2.763837980791537
33932,21567,59596,81163,2.763295775954004
34083,21627,59906,81533,2.769963471586443
34085,21628,59910,81538,2.7700203439985205
34133,21662,59995,81657,2.7695965284830577
34156,21698,60076,81774,2.7687344455710203
34168,21710,60089,81799,2.7678028558268077
34179,21729,60114,81843,2.7665332044732844
34760,22115,61239,83354,2.7691159846258198
34762,22116,61249,83365,2.769442937240007
34783,22118,61249,83367,2.7691925128854327
34827,22154,61312,83466,2.7675363365532184
34857,22184,61382,83566,2.766949152542373
34863,22184,61396,83580,2.767580238009376
34893,22207,61416,83623,2.7656144458954386
34904,22220,61432,83652,2.764716471647165
34967,22253,61465,83718,2.7620994922032986
34982,22264,61491,83755,2.761902623068631
34992,22268,61512,83780,2.7623495599065926
35001,22278,61535,83813,2.7621420235209624
35073,22338,61654,83992,2.760050138776972
35104,22365,61709,84074,2.759177285937849
35203,22412,61831,84243,2.7588345529180796
35253,22443,61862,84305,2.75640511518068
36064,22980,63030,86010,2.7428198433420365
36065,22980,63035,86015,2.743037423846823
36086,22996,63054,86050,2.7419551226300225
36131,23038,63115,86153,2.7396041323031515
36174,23047,63189,86236,2.7417451295179416
36193,23067,63213,86280,2.7404083756015085
36219,23080,63257,86337,2.7407712305025997
36254,23111,63341,86452,2.74072952273809
36316,23192,63516,86708,2.7387030010348394
36330,23202,63526,86728,2.737953624687527
36413,23292,63769,87061,2.737806972351022
36512,23331,63822,87153,2.7355021216407356
