loc,misses,hits,total,ratio
8889,1810,2802,18642,1.5480662983425415
9031,1856,2894,19072,1.5592672413793103
9052,1857,2894,19082,1.5584275713516424
9084,1860,2895,19112,1.5564516129032258
9092,1863,2899,19137,1.5560923242082663
9185,1912,2958,19522,1.547071129707113
9235,1924,2972,19616,1.5446985446985446
9248,1930,2973,19638,1.5404145077720208
9533,1973,3144,20318,1.5935124176381146
9618,1998,3153,20414,1.578078078078078
9657,1998,3153,20437,1.578078078078078
10036,2058,3448,21796,1.6754130223517978
10146,2091,3487,22136,1.6676231468197036
10406,2159,3519,22615,1.6299212598425197
10413,2160,3525,22636,1.6319444444444444
10415,2160,3525,22638,1.6319444444444444
10432,2164,3539,22694,1.6353974121996304
10440,2167,3541,22718,1.6340562990309184
10462,2176,3543,22766,1.6282169117647058
10470,2179,3545,22783,1.6268930702156952
10478,2181,3548,22797,1.6267767079321411
10534,2189,3559,22896,1.6258565555047968
10633,2226,3586,23109,1.6109613656783468
10708,2237,3621,23366,1.6186857398301295
10718,2240,3626,23394,1.61875
10729,2242,3628,23430,1.6181980374665477
10763,2254,3634,23516,1.6122448979591837
10949,2276,3635,23887,1.5971001757469245
10969,2283,3644,23932,1.5961454226894438
11420,2335,3708,24763,1.5880085653104925
11422,2335,3712,24774,1.5897216274089936
11526,2358,3725,24987,1.5797285835453774
11561,2367,3747,25073,1.5830164765525983
11642,2415,3762,25371,1.5577639751552794
11778,2437,3795,25598,1.557242511284366
11790,2448,3800,25653,1.5522875816993464
11807,2452,3801,25680,1.550163132137031
11851,2480,3826,25811,1.542741935483871
11854,2481,3826,25818,1.5421201128577187
11881,2481,3827,25830,1.5425231761386538
11904,2493,3837,25928,1.5391095066185319
12083,2553,3985,26498,1.5609087348217783
12161,2586,4038,26682,1.5614849187935034
12268,2630,4055,26986,1.5418250950570342
12494,2691,4110,27511,1.5273132664437012
12504,2692,4110,27526,1.526745913818722
12513,2693,4110,27536,1.526178982547345
12541,2707,4124,27651,1.523457702253417
12590,2718,4129,27727,1.5191317144959529
12613,2720,4129,27745,1.518014705882353
12623,2720,4129,27759,1.518014705882353
12866,2772,4161,28069,1.501082251082251
12872,2772,4167,28087,1.5032467532467533
12953,2811,4217,28373,1.5001778726431876
13198,2823,4340,29387,1.5373715905065533
13313,2866,4409,29731,1.5383810188415912
13336,2869,4411,29768,1.5374695015684907
13391,2877,4448,29907,1.5460549183176922
13398,2877,4456,29930,1.5488355926312132
13415,2880,4458,29969,1.5479166666666666
13437,2892,4458,30020,1.54149377593361
13485,2900,4466,30099,1.54
13520,2906,4471,30175,1.5385409497591191
13523,2907,4472,30184,1.5383556931544549
13666,2942,4506,30477,1.5316111488783142
13671,2943,4507,30485,1.5314305130818893
13675,2943,4507,30485,1.5314305130818893
13698,2954,4518,30542,1.5294515910629656
13773,2965,4547,30711,1.533558178752108
14248,3009,4604,31167,1.5300764373546027
14336,3041,4620,31397,1.519237093061493
14354,3051,4624,31442,1.5155686660111438
14358,3051,4624,31448,1.5155686660111438
14423,3068,4683,31725,1.5264015645371578
14448,3077,4700,31812,1.5274618134546636
15404,3179,5168,34147,1.625668449197861
15413,3179,5174,34165,1.627555835168292
15426,3181,5176,34183,1.6271612700408677
15477,3189,5183,34234,1.6252743806835999
15482,3189,5184,34236,1.625587958607714
15609,3207,5197,34474,1.6205176177112566
15623,3216,5201,34500,1.617226368159204
15820,3267,5249,34945,1.6066727884909704
15870,3280,5290,35115,1.6128048780487805
15892,3288,5299,35169,1.6116180048661801
15931,3296,5310,35258,1.6110436893203883
16072,3345,5325,35496,1.5919282511210762
16316,3447,5458,36246,1.5834058601682623
16346,3453,5462,36293,1.5818129163046626
16449,3476,5484,36599,1.5776754890678941
16524,3488,5501,36726,1.5771215596330275
16557,3497,5518,36808,1.5779239348012581
16811,3567,5591,37446,1.5674236052705355
16836,3571,5591,37469,1.5656678801456174
16868,3584,5600,37559,1.5625
16925,3606,5636,37737,1.5629506378258458
17088,3665,5707,38235,1.557162346521146
17095,3668,5707,38253,1.5558887677208288
17139,3683,5720,38345,1.553081726853109
17181,3711,5737,38487,1.5459444893559688
17197,3718,5741,38520,1.5441097364174288
17324,3737,5771,38736,1.5442868611185443
17331,3738,5775,38751,1.5449438202247192
17571,3824,5860,39453,1.532426778242678
17598,3832,5871,39526,1.532098121085595
17622,3838,5873,39582,1.5302240750390828
17831,3930,5996,40240,1.5256997455470738
17841,3930,6003,40260,1.5274809160305343
17864,3935,6014,40313,1.5283354510800509
17870,3935,6020,40331,1.5298602287166454
17936,3961,6036,40518,1.5238576117142135
17960,3969,6076,40625,1.5308641975308641
18207,4036,6260,41245,1.5510406342913776
18237,4043,6272,41304,1.5513232747959436
18249,4055,6274,41355,1.5472256473489518
18557,4217,6398,42202,1.5171923168129002
18872,4242,6496,42803,1.5313531353135315
18879,4242,6501,42817,1.5325318246110324
18887,4242,6501,42822,1.5325318246110324
18915,4253,6510,42890,1.5306842229014812
19035,4271,6538,43082,1.530789042378834
19310,4321,6584,43598,1.523721360796112
19325,4323,6588,43619,1.523941707147814
19359,4329,6609,43702,1.5266805266805268
19763,4386,6652,44167,1.5166438668490652
19801,4398,6659,44264,1.5140973169622556
19967,4427,6676,44559,1.5080189744748136
19968,4427,6677,44561,1.5082448610797379
20142,4459,6718,44951,1.5066158331464454
20188,4468,6728,45040,1.5058191584601612
20198,4471,6733,45067,1.5059270856631626
